parent_id,child_id,rel_type
-100000000005327789,-100000000008975302,HAS_MUNICIPALITY
-100000000005327789,-100000000008975305,HAS_MUNICIPALITY
-100000000005327789,-100000000008975304,HAS_MUNICIPALITY
-100000000005327789,-100000000008975303,HAS_MUNICIPALITY
-100000000005327789,-100000000008974458,HAS_MUNICIPALITY
-100000000005327789,-100000000008972964,HAS_MUNICIPALITY
-100000000005327785,-100000000006035363,HAS_MUNICIPALITY
-100000000005327785,-100000000006035364,HAS_MUNICIPALITY
-100000000005327783,-100000000006035472,HAS_MUNICIPALITY
-100000000005327783,-100000000006035470,HAS_MUNICIPALITY
-100000000005327779,-100000000009592317,HAS_MUNICIPALITY
-100000000005327779,-100000000009592316,HAS_MUNICIPALITY
-100000000005327778,-100000000005676380,HAS_MUNICIPALITY
-100000000005327778,-100000000005676379,HAS_MUNICIPALITY
-100000000005327778,-100000000005676381,HAS_MUNICIPALITY
-100000000005327778,-100000000005676378,HAS_MUNICIPALITY
-100000000005327777,-100000000006035468,HAS_MUNICIPALITY
-100000000005327777,-100000000006035471,HAS_MUNICIPALITY
-100000000005327777,-100000000006035469,HAS_MUNICIPALITY
-100000000005327776,-100000000012720378,HAS_MUNICIPALITY
-100000000005327776,-100000000008972961,HAS_MUNICIPALITY
-100000000005327776,-100000000008974457,HAS_MUNICIPALITY
-100000000005327776,-100000000008972962,HAS_MUNICIPALITY
-100000000005327776,-100000000008974486,HAS_MUNICIPALITY
-100000000005327626,-100000000009992538,HAS_MUNICIPALITY
-100000000005327626,-100000000009992537,HAS_MUNICIPALITY
-100000000005327626,-100000000009992536,HAS_MUNICIPALITY
-100000000000402103,-100000000000402189,HAS_MUNICIPALITY
-100000000000402103,-100000000000402183,HAS_MUNICIPALITY
-100000000000402103,-100000000000402188,HAS_MUNICIPALITY
-100000000000402103,-100000000000402181,HAS_MUNICIPALITY
-100000000000402103,-100000000000402182,HAS_MUNICIPALITY
-100000000000193092,-100000000014358799,HAS_MUNICIPALITY
-100000000000193092,-100000000014358700,HAS_MUNICIPALITY
-100000000000193092,-100000000014359077,HAS_MUNICIPALITY
-100000000000193092,-100000000014358881,HAS_MUNICIPALITY
