id,name,ref,highway
1017154115,avenue de la source,rn5,trunk
807750570,route katanga - kivu,rn5,trunk
1017188570,route katanga - kivu,rn5,trunk
195771680,avenue miketo,"",residential
234754032,route de la revolution,"",unclassified
832422151,off-field road,"",track
239154660,avenue kabange,"",residential
48585267,avenue de la source,rn5,trunk
195771667,avenue paris,"",residential
195771658,avenue de la source,rn5,trunk
1017153975,avenue de la source,rn5,trunk
1017154114,avenue de la source,rn5,trunk
804857940,route katanga - kivu,rn5,trunk
236899596,pont kituku,"",tertiary
239570312,avenue manika,"",tertiary
1016168700,avenue industrielle,"",tertiary
1016168701,avenue industrielle,"",tertiary
1016168707,avenue industrielle,"",tertiary
120711190,boulevard lumumba,"",tertiary
120711187,boulevard lumumba,"",tertiary
590498032,boulevard lumumba,"",unclassified
1016168706,avenue industrielle,"",tertiary
195821863,rue kalemie,"",tertiary
195822718,avenue kalumbi,"",unclassified
195821861,rue courant,"",residential
1153739822,avenue lumumba,rn5,trunk
1153739818,avenue lumumba,"",residential
195822706,avenue kalumbi,"",unclassified
807747808,avenue jubert,"",residential
807747809,avenue jubert,"",residential
1017188604,avenue jubert,"",residential
239154659,avenue kabambare,"",residential
1017188550,avenue kabambare,"",residential
1017188565,avenue kabambare,"",residential
196002364,avenue jubert,"",residential
196829802,quartier kabalo,"",residential
196085809,"",rn34,primary
33604437,"",rn34,primary
200669230,undugu,"",tertiary
1016179593,"",rn5,trunk
33593902,"",rn5,trunk
33667683,"",rn5,trunk
1016168711,"",rn5,trunk
120711191,avenue lumumba,rn5,trunk
1017188608,avenue du stade,"",tertiary
195821845,avenue du stade,"",tertiary
1017188594,avenue du stade,"",tertiary
233388881,avenue kabalo,"",residential
195771659,route katanga - kivu,rn5,trunk
1215901445,route katanga - kivu,rn5,trunk
96792297,pont de la kyimbi,"",tertiary
96792269,pont de la mudjale,"",tertiary
613229519,"",rn33,primary
48806400,"",rn5,trunk
351963857,pont kabindi,rn5,trunk
158038512,"",rn33,primary
33661253,"",rn33,primary
1016179592,"",rn5,trunk
1016179591,"",rn5,trunk
628041078,"",rn5,trunk
628041075,"",rn5,trunk
33677642,"",rn33,primary
1262809359,"",rn33,primary
1262809358,"",rn33,primary
613206798,"",rn5,trunk
613206799,pont lubuye iii,rn5,trunk
33602877,"",rn5,trunk
33674389,"",rn5,trunk
33666640,"",rn5,trunk
33660696,"",rn5,trunk
1262809361,"",rn33,primary
1262809360,"",rn33,primary
613229520,"",rn33,primary
999864712,"",rp1121,secondary
999864711,"",rp1121,secondary
33663769,"",rp1121,secondary
1117124243,"",rp1121,secondary
1117124244,"",rp1121,secondary
351741809,"",rp1121,secondary
33603981,"",rp1121,secondary
510497691,"",rp1121,secondary
33662178,"",rp1121,secondary
311816943,"",rp1121,secondary
311816944,"",rp1121,secondary
423474891,"",rn5,trunk
33669362,"",rn5,trunk
33598289,"",rn5,trunk
515027197,"",rn5,trunk
515027198,"",rn5,trunk
515027199,"",rn5,trunk
959752179,"",rn5,trunk
97282642,"",rn5,trunk
549141544,"",rn5,trunk
1215901718,route katanga - kivu,rn5,trunk
1017188573,route katanga - kivu,rn5,trunk
1215901719,route katanga - kivu,rn5,trunk
239014809,avenue de la source,"",unclassified
1017153972,avenue luchimba,"",unclassified
195771668,avenue luchimba,"",unclassified
591584820,avenue mulongo,"",residential
195771674,avenue mulongo,"",unclassified
237188490,avenue lumumba,"",unclassified
230275473,avenue de la liberation,"",residential
234754033,boulevard lumumba,"",unclassified
195771666,route makala,"",residential
236851447,place de la libération,"",pedestrian
200674363,boulevard lumumba,"",unclassified
195772492,avenue tanganyka,"",tertiary
195772490,avenue tanganyka,"",tertiary
96784270,avenue tanganyka,"",tertiary
195772491,avenue tanganyka,"",tertiary
1010133959,avenue tanganyka,"",unclassified
33599518,"",rp1121,tertiary
33670489,"",rn5,trunk
859835960,"",rn5,trunk
859835961,"",rn5,trunk
859835959,"",rn5,trunk
423474888,"",rn5,trunk
517387204,"",rn5,trunk
33592471,"",rn5,trunk
959752178,"",rn5,trunk
406236159,"",rn5,trunk
381594124,"",rn5,trunk
911279423,"",rn5,trunk
33672187,"",rn5,trunk
408639038,"",rn5,trunk
393525555,"",rn5,trunk
913457582,"",rn5,trunk
913457581,"",rn5,trunk
549141543,"",rn5,trunk
33670488,"",rn5,trunk
913457585,"",rn5,trunk
913457584,"",rn5,trunk
563397955,"",rn5,trunk
351450461,avenue belge,"",residential
406236161,"",rn5,trunk
33663621,"",rn5,trunk
385042019,"",rn5,trunk
430696135,"",rn5,trunk
430696133,"",rn5,trunk
406236158,"",rn5,trunk
547995093,pont mayu,rp527,primary
548000015,"",rp527,primary
548000012,"",rp527,primary
537523727,"",rp527,primary
537523726,"",rp527,primary
547997838,"",rp527,primary
547997833,"",rp527,primary
158038515,"",rn33,primary
493931085,"",rn5,trunk
612500610,"",rp1121,secondary
612500606,"",rp1121,secondary
33659656,"",rp1121,secondary
33664488,"",rp1121,secondary
351741811,"",rp1121,secondary
510497692,"",rp1121,secondary
408881891,pont mpanda,"",tertiary
912408769,"",rn5,trunk
406236162,"",rn5,trunk
909678653,"",rn5,trunk
911279424,"",rn5,trunk
909678652,"",rn5,trunk
525207384,"",rn5,trunk
393498466,la route principale de sebele vers kazimia et kikonde,"",tertiary
351666440,"",rp527,primary
563397956,"",rn5,trunk
351531738,avenue kitongo,"",residential
375855290,"",rp527,primary
547992158,"",rn5,trunk
560095292,pont ngingecha,rp527,primary
560095291,"",rp527,primary
375855289,pont riviere mukera,rp527,primary
563397961,"",rp527,primary
563397962,"",rp527,primary
537523737,"",rp527,primary
547995094,"",rp527,primary
537523747,"",rp527,primary
33601511,"",rp527,primary
97282907,"",rp527,primary
910824221,"",rn5,trunk
910824124,"",rn5,trunk
910824125,"",rn5,trunk
549141545,"",rn5,trunk
549141546,"",rn5,trunk
913324615,"",rn5,trunk
314109323,pont malala i,"",tertiary
316852489,"",rn5,trunk
314109299,"",rn5,trunk
913324616,"",rn5,trunk
311421519,"",rn5,trunk
316852486,pont macampagne,rn5,trunk
912726071,"",rn5,trunk
912726072,"",rn5,trunk
383962672,"",rn5,trunk
383962673,"",rn5,trunk
198503249,"",rn5,trunk
198503252,"",rn5,trunk
198503240,"",rn5,trunk
198503246,"",rn5,trunk
198503232,"",rn5,trunk
198503244,"",rn5,trunk
198503247,"",rn5,trunk
198503250,"",rn5,trunk
198503243,"",rn5,trunk
198503227,"",rn5,trunk
198503242,"",rn5,trunk
396061335,"",rp527,primary
911502043,"",rp527,primary
471567079,"",rn5,trunk
475523084,"",rn5,trunk
471567085,"",rn5,trunk
381935896,"",rn5,trunk
381935895,"",rn5,trunk
474397146,route nationale 5,rn5,trunk
557109869,"",rn5,trunk
557109870,"",rn5,trunk
525982615,"",rn5,trunk
912408801,"",rn5,trunk
912408802,"",rn5,trunk
912408798,"",rn5,trunk
912408799,"",rn5,trunk
533238019,"",rn5,trunk
533238018,"",rn5,trunk
557109868,"",rn5,trunk
557109867,"",rn5,trunk
594636822,"",rn5,trunk
563397954,"",rn5,trunk
563397953,"",rn5,trunk
371966228,"",rn5,trunk
547982177,"",rn5,trunk
547988215,"",rn5,trunk
547988214,"",rn5,trunk
314530053,"",rn5,trunk
547982179,"",rn5,trunk
547982183,"",rn5,trunk
547982174,"",rn5,trunk
314530051,"",rn5,trunk
198503237,"",rn5,trunk
198503248,"",rn5,trunk
921012963,"",rn5,trunk
921012962,"",rn5,trunk
198503245,"",rn5,trunk
198503225,"",rn5,trunk
938829544,"",rn5,trunk
938829543,"",rn5,trunk
198503241,"",rn5,trunk
198503226,"",rn5,trunk
197698980,"",rn5,trunk
197698981,"",rn5,trunk
922532894,"",rn5,trunk
922532893,"",rn5,trunk
198503239,"",rn5,trunk
198503234,"",rn5,trunk
198680632,"",rn5,trunk
375843533,"",rp527,primary
409456954,"",rp527,primary
911502042,"",rp527,primary
97282730,"",rp527,primary
474397143,"",rn5,trunk
372771486,"",rn5,trunk
563397964,"",rn5,trunk
563397960,"",rn5,trunk
912408779,"",rn5,trunk
912408778,"",rn5,trunk
563397963,"",rn5,trunk
33661862,"",rn5,trunk
559795938,"",rn5,trunk
559795939,"",rn5,trunk
553472417,"",rn5,trunk
474397748,"",rn5,trunk
912408770,"",rn5,trunk
912408793,"",rn5,trunk
912408791,"",rn5,trunk
912408790,"",rn5,trunk
912408794,"",rn5,trunk
525982616,"",rn5,trunk
371966225,"",rn5,trunk
474397740,"",rn5,trunk
371966227,pont lweba,rn5,trunk
371966226,"",rn5,trunk
563397959,"",rn5,trunk
912408776,"",rn5,trunk
912408775,"",rn5,trunk
372771487,"",rn5,trunk
381935897,"",rn5,trunk
381935894,"",rn5,trunk
435644167,"",rn5,trunk
435644166,"",rn5,trunk
50144515,"",rp527,primary
618602939,"",rp527,primary
467954774,"",rp527,primary
621365383,"",rp527,primary
621365384,"",rp527,primary
399570001,"",rp527,primary
50144510,"",rp527,primary
398286567,"",rp527,primary
97282999,"",rn2,trunk
423660780,"",rp527,construction
604994654,"",rp527,secondary
49685819,"",rp527,secondary
203906395,"",rn2,trunk
203906410,"",rn2,trunk
203906401,"",rn2,trunk
50144512,"",rp527,primary
401145467,"",rp527,primary
401145468,"",rp527,primary
399570000,"",rp527,primary
924350503,"",rp527,primary
409456958,"",rp527,primary
924350504,"",rp527,primary
375687229,"",rp527,primary
375687083,"",rp527,primary
373198780,"",rp527,primary
987171347,"",rn2,trunk
621118722,"",rp527,primary
618602940,"",rp527,primary
992217804,"",rn2,trunk
49689765,"",rn2,trunk
429360812,"",rn2,trunk
992217805,"",rn2,trunk
984365682,"",rn2,trunk
984365681,"",rn2,trunk
467954773,"",rp527,primary
373409086,"",rp527,primary
421253616,"",rp527,primary
50144507,"",rp527,primary
161536092,"",rp527,construction
987171349,"",rn2,trunk
993457207,"",rn2,trunk
203906400,"",rn2,trunk
203906399,"",rn2,trunk
49688545,"",rp527,secondary
203906407,"",rn2,trunk
97282623,"",rn2,trunk
203906406,"",rn2,trunk
429360785,"",rn2,trunk
429360836,"",rn2,trunk
1029276362,"",rp503,secondary
363764071,"",rp503,secondary
620753418,"",rp503,secondary
363764076,"",rp503,secondary
1029276361,"",rp503,secondary
247382870,"",rp503,secondary
1028984886,"",rp503,secondary
1028984885,"",rp503,secondary
519017215,"",rn2,trunk
519017214,"",rn2,trunk
49458332,"",rn2,trunk
1004064933,"",rn2,trunk
1004064934,"",rn2,trunk
972906800,"",rn2,trunk
33674198,"",rn2,trunk
429360829,"",rn2,trunk
49689771,"",rn2,trunk
1180725505,trilho,"",path
1180725503,trilho,"",path
1180725504,trilho,"",path
1180725502,trilho,"",path
1180725498,trilho,"",path
1180725501,trilho,"",path
1180725499,trilho,"",path
1180725500,trilho,"",path
1180725496,trilho,"",path
1180725497,trilho,"",path
1180725495,trilho,"",path
1180725493,trilho,"",path
1180725492,trilho,"",path
1180725489,trilho,"",path
1180725491,trilho,"",path
586656272,lubefu,"",residential
586656273,lodja,"",residential
586656275,lokando,"",residential
586656271,luberizi,"",residential
316924955,avenue d'idwji,"",tertiary
325013216,avenue biega,"",residential
470812920,route de l'aéroport,rn2,trunk
316697373,route de l'aéroport,rn2,trunk
107736775,route de l'aéroport,rn2,trunk
1006139445,"",rn2,trunk
1006139444,"",rn2,trunk
49495467,"",rn2,trunk
33600292,"",rn2,trunk
202054305,"",rn2,trunk
202054304,"",rn2,trunk
200105084,"",rn2,trunk
1029117886,"",rn2,trunk
1029117885,"",rn2,trunk
200105085,"",rn2,trunk
97282780,"",rn2,trunk
1180725506,trilho,"",path
1180725507,trilho,"",path
620750933,"",rp503,secondary
1029117877,"",rp503,secondary
1029117876,"",rp503,secondary
196085890,"",rp503,secondary
975392079,"",rp503,secondary
620753419,"",rp503,secondary
378332785,"",rn2,trunk
200124076,"",rn2,trunk
200124078,"",rn2,trunk
200124077,"",rn2,trunk
195294953,"",rn2,trunk
195294955,"",rn2,trunk
380728858,"",rn2,trunk
135767802,"",rn2,trunk
49495468,"",rn2,trunk
466935997,"",rn2,trunk
1029113234,"",rn2,trunk
466935996,"",rn2,trunk
33659534,"",rn2,trunk
975277851,"",rp503,secondary
620750934,"",rp503,secondary
97283011,"",rp1103,secondary
378334094,"",rn2,trunk
992610279,"",rn2,trunk
992610280,"",rn2,trunk
992610520,"",rn2,trunk
381449434,"",rn5,trunk
381449433,"",rn5,trunk
34147243,"",rn5,trunk
257629593,"",nr11,trunk
357505017,"",nr11,trunk
198732762,"",rn5,trunk
587540418,"",rn5,trunk
587540403,"",rn5,trunk
983254330,"",rn5,trunk
970528308,"",rn5,trunk
983254331,"",rn5,trunk
983254329,"",rn5,trunk
970528307,"",rn5,trunk
983254333,"",rn5,trunk
587540419,"",rn5,trunk
785121453,"",rn5,trunk
1180725494,trilho,"",path
992610519,"",rn2,trunk
378334091,"",rn2,trunk
378334093,"",rn2,trunk
371309418,"",rn5,trunk
381449435,"",rn5,trunk
586448806,"",rn5,trunk
48586724,"",rn5,trunk
196841594,"",rn5,trunk
196841592,"",rn5,trunk
1012030329,"",rn5,trunk
1012030328,"",rn5,trunk
470812914,"",rn5,trunk
981658290,"",rn5,trunk
983254334,"",rn5,trunk
983254332,"",rn5,trunk
981658289,"",rn5,trunk
635671594,"",rn5,trunk
1029113233,"",rn2,trunk
363917867,"",rn2,trunk
