id,name,hierarchy_level,type
-100000000006081620,ngeleka kanguvu 1,8,neighborhood
-100000000006081611,kamwanga bitanda,8,neighborhood
-100000000006081623,nzaba,8,neighborhood
-100000000006092135,mashala bambi,8,neighborhood
-100000000006084049,kabongo wa misasa,8,neighborhood
-100000000006084058,makala,8,neighborhood
-100000000006084054,kanzewu,8,neighborhood
-100000000006092133,tshibala kakumesa,8,neighborhood
-100000000006084062,pmk0,8,neighborhood
-100000000006081619,mulomba kamanda,8,neighborhood
-100000000006081604,citandayi,8,neighborhood
-100000000006084059,mpokolo,8,neighborhood
-100000000006081622,ntambwa kasanzu,8,neighborhood
-100000000006081607,diovo,8,neighborhood
-100000000006081613,kanshi,8,neighborhood
-100000000006081605,de la plaine,8,neighborhood
-100000000006084065,tshielela,8,neighborhood
-100000000006081614,lubi,8,neighborhood
-100000000006084052,kandolo,8,neighborhood
-100000000006084063,regideso,8,neighborhood
-100000000006084057,lubuebue,8,neighborhood
-100000000006092134,de la mission,8,neighborhood
-100000000006081610,kalundu,8,neighborhood
-100000000006081618,mulekayi,8,neighborhood
-100000000006084055,katanga mbuji,8,neighborhood
-100000000006084068,tshula mutombo,8,neighborhood
-100000000006084051,kabuba mpetemba,8,neighborhood
-100000000006081608,diwola,8,neighborhood
-100000000006081624,rva,8,neighborhood
-100000000006084061,odia david,8,neighborhood
-100000000006084048,ditunga dietu,8,neighborhood
-100000000006087070,mutonj mayand,8,neighborhood
-100000000006084056,lubanda,8,neighborhood
-100000000006084050,kabuatshia,8,neighborhood
-100000000006084053,kankenlenga,8,neighborhood
-100000000006101821,kanjiya,8,neighborhood
-100000000006084066,tshintuta,8,neighborhood
-100000000006084064,tatu kanyinda,8,neighborhood
-100000000006084060,muya,8,neighborhood
-100000000006084067,tshiombela,8,neighborhood
-100000000006077558,ngeleka kanguvu 3,8,neighborhood
-100000000006081606,de la poste,8,neighborhood
-100000000006081612,kansele,8,neighborhood
-100000000006078067,monseigneur nkongolo,8,neighborhood
-100000000006078072,tender,8,neighborhood
-100000000006078066,manzonzo,8,neighborhood
-100000000006081603,bena cibuabua,8,neighborhood
-100000000006081621,nkonga,8,neighborhood
-100000000006081616,lusambo,8,neighborhood
-100000000006081609,kalambayi nzebu,8,neighborhood
-100000000006077556,kajiba,8,neighborhood
-100000000006081625,tshibangu mpoyi,8,neighborhood
-100000000006078068,muluma musulu,8,neighborhood
-100000000006081615,muamba nzambi,8,neighborhood
-100000000006076454,lunga,8,neighborhood
-100000000006075876,lazare,8,neighborhood
-100000000006075875,dieu soit béni,8,neighborhood
-100000000006075874,kalal mutambo,8,neighborhood
-100000000006076437,ngalula mpandanjila,8,neighborhood
-100000000006075985,m. tshia,8,neighborhood
-100000000006075987,tshikama,8,neighborhood
-100000000006076436,kalonji ditunga,8,neighborhood
-100000000006075877,mutonji mayande,8,neighborhood
-100000000006078064,kabeya kasonga,8,neighborhood
-100000000006078062,ciminyi,8,neighborhood
-100000000006081617,mbaya musangana,8,neighborhood
-100000000006078070,ngomba ngola,8,neighborhood
-100000000006078069,ngalula tshibeta,8,neighborhood
-100000000006078063,kabe,8,neighborhood
-100000000006078071,oua,8,neighborhood
-100000000006078065,bukasa kumbi kumbi,8,neighborhood
-100000000006075986,nkongolo kabila,8,neighborhood
-100000000006077557,ndembo a kanda,8,neighborhood
-100000000010994977,mama yemo,8,neighborhood
-100000000010994978,musey,8,neighborhood
-100000000010994979,mfinda,8,neighborhood
-100000000010994983,monganga,8,neighborhood
-100000000009463063,lukunga,8,neighborhood
-100000000009463064,ngomba kikusa,8,neighborhood
-100000000009463059,kinkenda,8,neighborhood
-100000000009463062,bumba,8,neighborhood
-100000000010994980,djelo binza,8,neighborhood
-100000000010994981,kimpe,8,neighborhood
-100000000010994974,bangu,8,neighborhood
-100000000010994975,binza pigeon,8,neighborhood
-100000000010994973,lubudi,8,neighborhood
-100000000010994982,manenga,8,neighborhood
-100000000009463057,joli parc,8,neighborhood
-100000000009463060,lonzo,8,neighborhood
-100000000009463061,punda,8,neighborhood
-100000000009463058,congo,8,neighborhood
-100000000009463056,anciens combattants,8,neighborhood
-100000000009384419,basoko,8,neighborhood
-100000000010994976,kinsuka pecheur,8,neighborhood
-100000000009420671,elengesa,8,neighborhood
-100000000009420672,diomi,8,neighborhood
-100000000009420673,assosa,8,neighborhood
-100000000009420674,saïo,8,neighborhood
-100000000009420670,24 novembre,8,neighborhood
-100000000009420669,petit-petit,8,neighborhood
-100000000009420668,diangenda,8,neighborhood
-100000000009420667,khartoum,8,neighborhood
-100000000009405607,anciens combattants,8,neighborhood
-100000000009405605,onl,8,neighborhood
-100000000009405609,assossa,8,neighborhood
-100000000009405608,lubumbashi,8,neighborhood
-100000000009405606,katanga,8,neighborhood
-100000000009405604,salongo,8,neighborhood
-100000000009405603,lodja,8,neighborhood
-100000000009384589,kasa vubu,8,neighborhood
-100000000009384575,lumumba,8,neighborhood
-100000000009384577,adoula,8,neighborhood
-100000000009384576,lingwala,8,neighborhood
-100000000009384579,lubudi nganda,8,neighborhood
-100000000009384580,bisengo,8,neighborhood
-100000000009384588,makelele,8,neighborhood
-100000000009384590,kokolo,8,neighborhood
-100000000009384428,haut commandement,8,neighborhood
-100000000009384424,croix-rouge,8,neighborhood
-100000000009384423,golf,8,neighborhood
-100000000009384425,lemera,8,neighborhood
-100000000009384427,batetela,8,neighborhood
-100000000009384426,cliniques,8,neighborhood
-100000000009384421,gare,8,neighborhood
-100000000009384420,commerce,8,neighborhood
-100000000009384422,révolution,8,neighborhood
-100000000009384578,lubudi luka,8,neighborhood
-100000000009384581,lubudi nganda,8,neighborhood
-100000000009384582,kilimani,8,neighborhood
-100000000009384583,wenze,8,neighborhood
-100000000009384584,tshinkela,8,neighborhood
-100000000009384585,salongo,8,neighborhood
-100000000009384587,lisala,8,neighborhood
-100000000009384586,itimbiri,8,neighborhood
-100000000009384228,ngunda lokombe,8,neighborhood
-100000000009384229,la voix du peuple,8,neighborhood
-100000000009384231,30 juin,8,neighborhood
-100000000009384230,lokole,8,neighborhood
-100000000009384232,cneci,8,neighborhood
-100000000009384233,pakadjuma,8,neighborhood
-100000000009384235,singa mopepe,8,neighborhood
-100000000009384234,wenze,8,neighborhood
-100000000009400357,libulu,8,neighborhood
-100000000009400355,bitshaku tshaku,8,neighborhood
-100000000009400354,tshimanga,8,neighborhood
-100000000009400356,mozindo,8,neighborhood
-100000000009400358,kasaï,8,neighborhood
-100000000009400362,ndolo,8,neighborhood
-100000000009400361,funa i,8,neighborhood
-100000000009400360,funa ii,8,neighborhood
-100000000009400359,kapinga,8,neighborhood
-100000000009386883,ngbaka,8,neighborhood
-100000000009386882,madimba,8,neighborhood
-100000000009386881,aketi,8,neighborhood
-100000000009386877,boyoma,8,neighborhood
-100000000009386880,mongala,8,neighborhood
-100000000009386879,djalo,8,neighborhood
-100000000009386878,pende,8,neighborhood
-100000000009417925,nzadi,8,neighborhood
-100000000008941154,kingabwa,8,neighborhood
-100000000009417924,ndanu,8,neighborhood
-100000000009417926,mbamu,8,neighborhood
-100000000009417927,industriel,8,neighborhood
-100000000009417932,residentiel,8,neighborhood
-100000000009417933,mateba,8,neighborhood
-100000000009417935,mososo,8,neighborhood
-100000000009417931,agricole,8,neighborhood
-100000000009417929,mayulu,8,neighborhood
-100000000009417934,mombele,8,neighborhood
-100000000009417930,mfumu mvula,8,neighborhood
-100000000009417928,masiala,8,neighborhood
-100000000009417923,salongo,8,neighborhood
-100000000009424449,kauka 2,8,neighborhood
-100000000009424452,matonge 2,8,neighborhood
-100000000009424450,matonge 3,8,neighborhood
-100000000009424448,kimbangu 1,8,neighborhood
-100000000009424446,yolo-nord 2,8,neighborhood
-100000000009424447,yolo-nord 3,8,neighborhood
-100000000009424454,matonge 1,8,neighborhood
-100000000009424453,immo-congo,8,neighborhood
-100000000009424451,kauka 1,8,neighborhood
-100000000009424444,kauka 3,8,neighborhood
-100000000009424445,yolo-nord 1,8,neighborhood
-100000000009424438,yolo-sud 1,8,neighborhood
-100000000009424439,yolo-sud 2,8,neighborhood
-100000000009424442,yolo-sud 3,8,neighborhood
-100000000009424443,kimbangu 2,8,neighborhood
-100000000009424440,kimbangu 3,8,neighborhood
-100000000009424441,yolo-sud 4,8,neighborhood
-100000000009424437,camp pinzi,8,neighborhood
-100000000010089738,ecole,8,neighborhood
-100000000010089739,foire,8,neighborhood
-100000000010273881,echangeur,8,neighborhood
-100000000010443595,commercial,8,neighborhood
-100000000010089737,mandradelle,8,neighborhood
-100000000010273880,gombele,8,neighborhood
-100000000010089736,kimpwanza,8,neighborhood
-100000000010089735,masano,8,neighborhood
-100000000010028560,kemi,8,neighborhood
-100000000010453111,livulu,8,neighborhood
-100000000010028433,salongo,8,neighborhood
-100000000010453110,mbanza lemba,8,neighborhood
-100000000010023116,lunionzo,8,neighborhood
-100000000010023117,lubefu,8,neighborhood
-100000000010023604,mbombipoko,8,neighborhood
-100000000010022618,totaka,8,neighborhood
-100000000010245981,maziba,8,neighborhood
-100000000010224907,dondo,8,neighborhood
-100000000010221317,loeka,8,neighborhood
-100000000010245547,vivi,8,neighborhood
-100000000010023546,sumbuka,8,neighborhood
-100000000010023494,sankuru,8,neighborhood
-100000000010023695,lukunga,8,neighborhood
-100000000010023777,lumumba,8,neighborhood
-100000000010023862,malemba,8,neighborhood
-100000000010020961,quartier 2,8,neighborhood
-100000000010014350,quartier 7,8,neighborhood
-100000000010020932,quartier 1,8,neighborhood
-100000000010021038,quartier 8,8,neighborhood
-100000000010014524,quartier 3,8,neighborhood
-100000000010014522,quartier 4,8,neighborhood
-100000000010021011,quartier 11,8,neighborhood
-100000000010021010,quartier 12,8,neighborhood
-100000000010014589,quartier 10,8,neighborhood
-100000000010014523,quartier 5,8,neighborhood
-100000000010014351,quartier 6,8,neighborhood
-100000000010014621,quartier 9,8,neighborhood
-100000000010013409,quartier 13,8,neighborhood
-100000000009389393,mandiangu,8,neighborhood
-100000000009389406,sans fil,8,neighborhood
-100000000009389395,lokari,8,neighborhood
-100000000009389405,abatoire,8,neighborhood
-100000000009389407,imbali,8,neighborhood
-100000000009389402,télévision,8,neighborhood
-100000000009389403,boba,8,neighborhood
-100000000009389391,kivu,8,neighborhood
-100000000009389400,efoloko,8,neighborhood
-100000000009389399,tshuenge,8,neighborhood
-100000000009389392,congo,8,neighborhood
-100000000009389394,kasai,8,neighborhood
-100000000009389389,pelende,8,neighborhood
-100000000009389398,lubamba,8,neighborhood
-100000000009389401,tshangu,8,neighborhood
-100000000009389388,nzunzi wa mbombo,8,neighborhood
-100000000009389404,kimbangu,8,neighborhood
-100000000009107733,mfumu nsuka,8,neighborhood
-100000000009389397,mapela,8,neighborhood
-100000000009389396,mafuta kizola,8,neighborhood
-100000000009389390,matadi,8,neighborhood
-100000000010310552,maviokele,8,neighborhood
-100000000010199988,bahumbu,8,neighborhood
-100000000010261800,boma,8,neighborhood
-100000000010212299,kutu,8,neighborhood
-100000000008432852,ngomba,8,neighborhood
-100000000008432851,regideso,8,neighborhood
-100000000008432855,17 mai,8,neighborhood
-100000000008432844,dingi-dingi,8,neighborhood
-100000000008432845,kitomesa,8,neighborhood
-100000000008432843,révolution,8,neighborhood
-100000000008432846,bikanga,8,neighborhood
-100000000008432847,nsola,8,neighborhood
-100000000008432840,de la paix,8,neighborhood
-100000000008432849,kabila,8,neighborhood
-100000000008432848,kisenso-gare,8,neighborhood
-100000000008432841,mission,8,neighborhood
-100000000008432850,kumbu,8,neighborhood
-100000000008432842,amba,8,neighborhood
-100000000008432853,libération,8,neighborhood
-100000000008432856,mujinga,8,neighborhood
-100000000008432854,mbuku,8,neighborhood
-100000000005392572,munua,8,neighborhood
-100000000005392567,kasapa,8,neighborhood
-100000000005392571,luwowoshi,8,neighborhood
-100000000005392569,kimbembe,8,neighborhood
-100000000005399825,naviundu,8,neighborhood
-100000000005399818,kalebuka,8,neighborhood
-100000000005392568,kasungami,8,neighborhood
-100000000005392570,kisanga,8,neighborhood
-100000000005400763,golf,8,neighborhood
-100000000005850852,météo,8,neighborhood
-100000000005761517,gambela 1,8,neighborhood
-100000000005761518,gambela 2,8,neighborhood
-100000000005388072,kalubwe,8,neighborhood
-100000000005387898,lumumba,8,neighborhood
-100000000005387897,kiwele,8,neighborhood
-100000000005400764,makutano,8,neighborhood
-100000000005388069,lido-golf,8,neighborhood
-100000000005400765,mampala,8,neighborhood
-100000000005820757,salama,8,neighborhood
-100000000005400834,ndjandja,8,neighborhood
-100000000005400832,kitumaïni,8,neighborhood
-100000000005825683,hewa bora,8,neighborhood
-100000000005388070,bel-air 1,8,neighborhood
-100000000005825684,kabetsha,8,neighborhood
-100000000005388071,industriel,8,neighborhood
-100000000005400830,kigoma,8,neighborhood
-100000000003586405,bogonga,8,neighborhood
-100000000005399817,bel-air 2,8,neighborhood
-100000000005399841,kampemba,8,neighborhood
-100000000005399840,kafubu,8,neighborhood
-100000000005388019,congo,8,neighborhood
-100000000005387974,matoleo,8,neighborhood
